Deputy,N_news
JORGE ALMEIDA,29345
JOÃO PORTUGAL,18239
PAULO PORTAS,15654
MANUEL JOSÉ RODRIGUES,15592
MIGUEL ALMEIDA,15111
JORGE COSTA,14362
JOSÉ SÓCRATES,14219
JOSÉ LUÍS FERREIRA,13399
FERRO RODRIGUES,13378
ANTÓNIO MANUEL CAMPOS,12991
MANUEL PEREIRA,12611
JOÃO SOARES,12559
JORGE COELHO,12527
VÍTOR PEREIRA,12350
CARLOS LOPES,12318
JOSÉ RIBEIRO,12100
JORGE PEREIRA,12040
RUI GOMES DA SILVA,12028
JOSÉ MANUEL RIBEIRO,11964
ANTÓNIO BRAGA,11939
ANTÓNIO FILIPE,11861
JOSÉ PEREIRA DA COSTA,11800
PEDRO SILVA PEREIRA,11792
LUÍS RODRIGUES,11761
MIGUEL COELHO,11722
MARIA MANUEL OLIVEIRA,11703
JOÃO OLIVEIRA,11696
JOSÉ EDUARDO MARTINS,11644
PEDRO SANTANA LOPES,11505
DAVID MARTINS,11477
JOSÉ AMARAL LOPES,11340
FRANCISCO LOPES,11337
PEDRO PINTO,11304
SÉRGIO VIEIRA,11230
TERESA PORTUGAL,11229
JOÃO REBELO,11227
FERNANDO GOMES,11194
ANA RODRIGUES,11189
ANTÓNIO PIRES DE LIMA,11070
MANUEL MOTA,11069
PAULO PEREIRA COELHO,11063
FRANCISCO LOUÇÃ,11037
LUÍS MARQUES MENDES,10968
MIGUEL SANTOS,10929
ANTÓNIO CARLOS MONTEIRO,10861
CARLOS PINTO,10832
JOÃO TEIXEIRA LOPES,10828
PEDRO MOTA SOARES,10737
TELMO CORREIA,10720
PAULO PEDROSO,10720
ISABEL JORGE,10674
FRANCISCO MADEIRA LOPES,10663
PEDRO DUARTE,10652
JORGE MOREIRA DA SILVA,10511
JORGE MACHADO,10502
JAIME GAMA,10500
MOTA AMARAL,10497
ALBERTO COSTA,10452
ANTÓNIO VITORINO,10451
AUGUSTO SANTOS SILVA,10426
ALBERTO MARTINS,10405
RICARDO MARTINS,10395
RUI CUNHA,10359
ANTÓNIO ALMEIDA HENRIQUES,10341
JOSÉ AUGUSTO DE CARVALHO,10319
JOSÉ LUÍS CARNEIRO,10310
JAIME SOARES,10292
MANUEL JOAQUIM FERREIRA,10290
PAULO MATOS,10262
ISABEL SANTOS,10215
VIEIRA DA SILVA,10209
JOSÉ LELLO,10176
MIGUEL FREITAS,10124
VASCO CUNHA,10106
LUÍS BRAGA DA CRUZ,10094
ISABEL GONÇALVES,10085
JOSÉ MAGALHÃES,10073
ISABEL PIRES DE LIMA,10071
MIGUEL TIAGO,10068
FERNANDO SANTOS PEREIRA,10055
JOSÉ PEDRO AGUIAR BRANCO,10050
RICARDO RODRIGUES,10045
JOSÉ LUÍS ARNAUT,10007
RICARDO GONÇALVES,9975
DUARTE LIMA,9957
FILIPE NASCIMENTO,9954
LUÍS MARQUES GUEDES,9951
JOSÉ DE MATOS CORREIA,9935
MOTA ANDRADE,9928
DUARTE PACHECO,9923
MANUELA DE MELO,9920
NUNO SÁ,9916
VASCO FRANCO,9909
PEDRO NUNO SANTOS,9905
LUÍS VAZ,9894
PATINHA ANTÃO,9871
ANA MANSO,9870
PAULA CRISTINA DUARTE,9868
RUI MORAIS,9866
LUÍS CAMPOS FERREIRA,9856
JOSÉ MIGUEL GONÇALVES,9838
